"Column Name","Data Type","Unit","Description","UCD","Index","Principal"
"dec","double","deg","Declination coordinate of the position of the object at time radecMjdTai.","pos.eq.dec","",""
"decErr","float","deg","Uncertainty of dec.","stat.error;pos.eq.dec","",""
"diaObjectId","long","","Unique identifier of this DiaObject.","meta.id;src","",""
"g_fpFluxMean","float","nJy","Weighted mean forced photometry flux for g filter.","phot.count","",""
"g_fpFluxMeanErr","float","nJy","Standard error of g_fpFluxMean.","stat.error","",""
"g_fpFluxSigma","float","nJy","Standard deviation of the distribution of g_fpFlux.","stat.stdev","",""
"g_psfFluxChi2","float","","Chi^2 statistic for the scatter of g_psfFlux around g_psfFluxMean.","stat.fit.chi2","",""
"g_psfFluxErrMean","float","nJy","Mean of the g band flux errors.","","",""
"g_psfFluxLinearIntercept","float","nJy","Linear best fit Intercept of the g band fluxes.","","",""
"g_psfFluxLinearSlope","float","nJy/d","Linear best fit slope of the g band fluxes.","","",""
"g_psfFluxMAD","float","nJy","Median absolute deviation g band fluxes.","","",""
"g_psfFluxMax","float","nJy","Maximum observed g band fluxes.","","",""
"g_psfFluxMaxSlope","float","nJy/d","Maximum slope between g band flux obsevations max(delta_flux/delta_time).","","",""
"g_psfFluxMean","float","nJy","Weighted mean point-source model magnitude for g filter.","phot.count","",""
"g_psfFluxMeanErr","float","nJy","Standard error of g_psfFluxMean.","stat.error","",""
"g_psfFluxMin","float","nJy","Minimum observed g band fluxes.","","",""
"g_psfFluxNdata","int","","The number of data points used to compute g_psfFluxChi2.","","",""
"g_psfFluxPercentile05","float","nJy","Value at the 5% percentile of the g band fluxes.","","",""
"g_psfFluxPercentile25","float","nJy","Value at the 25% percentile of the g band fluxes.","","",""
"g_psfFluxPercentile50","float","nJy","Value at the 50% percentile (median) of the g band fluxes.","","",""
"g_psfFluxPercentile75","float","nJy","Value at the 75% percentile of the g band fluxes.","","",""
"g_psfFluxPercentile95","float","nJy","Value at the 95% percentile of the g band fluxes.","","",""
"g_psfFluxSigma","float","nJy","Standard deviation of the distribution of g_psfFlux.","stat.stdev","",""
"g_psfFluxSkew","float","","Skewness of the g band fluxes.","","",""
"g_psfFluxStetsonJ","float","","StetsonJ statistic for the g band fluxes.","","",""
"g_scienceFluxMean","float","nJy","Weighted mean forced photometry flux for g filter.","phot.count","",""
"g_scienceFluxMeanErr","float","nJy","Standard error of g_scienceFluxMean.","stat.error","",""
"g_scienceFluxSigma","float","nJy","Standard deviation of the distribution of g_scienceFlux.","stat.stdev","",""
"i_fpFluxMean","float","nJy","Weighted mean forced photometry flux for i filter.","phot.count","",""
"i_fpFluxMeanErr","float","nJy","Standard error of i_fpFluxMean.","stat.error","",""
"i_fpFluxSigma","float","nJy","Standard deviation of the distribution of i_fpFlux.","stat.stdev","",""
"i_psfFluxChi2","float","","Chi^2 statistic for the scatter of i_psfFlux around i_psfFluxMean.","stat.fit.chi2","",""
"i_psfFluxErrMean","float","nJy","Mean of the i band flux errors.","","",""
"i_psfFluxLinearIntercept","float","nJy","Linear best fit Intercept of the i band fluxes.","","",""
"i_psfFluxLinearSlope","float","nJy/d","Linear best fit slope of the i band fluxes.","","",""
"i_psfFluxMAD","float","nJy","Median absolute deviation i band fluxes.","","",""
"i_psfFluxMax","float","nJy","Maximum observed i band fluxes.","","",""
"i_psfFluxMaxSlope","float","nJy/d","Maximum slope between i band flux obsevations max(delta_flux/delta_time).","","",""
"i_psfFluxMean","float","nJy","Weighted mean point-source model magnitude for i filter.","phot.count","",""
"i_psfFluxMeanErr","float","nJy","Standard error of i_psfFluxMean.","stat.error","",""
