"Column Name","Data Type","Unit","Description","UCD","Index","Principal"
"apFlux","float","nJy","Flux in a 12 pixel radius aperture on the difference image.","phot.count","",""
"apFlux_flag","boolean","","General aperture flux algorithm failure flag; set if anything went wrong when measuring aperture fluxes. Another apFlux flag field should also be set to provide more information.","","",""
"apFlux_flag_apertureTruncated","boolean","","Aperture did not fit within measurement image.","","",""
"apFluxErr","float","nJy","Estimated uncertainty of apFlux.","stat.error;phot.count","",""
"band","char","","Filter band this source was observed with.","","",""
"bboxSize","long","","","","",""
"centroid_flag","boolean","","General centroid algorithm failure flag; set if anything went wrong when fitting the centroid. Another centroid flag field should also be set to provide more information.","","",""
"dec","double","deg","Declination coordinate of the center of this diaSource.","pos.eq.dec","",""
"decErr","float","deg","Uncertainty of dec.","stat.error;pos.eq.dec","",""
"detector","short","","Id of the detector where this diaSource was measured. Datatype short instead of byte because of DB concerns about unsigned bytes.","meta.id;obs.image","",""
"diaObjectId","long","","Id of the diaObject this source was associated with, if any. If not, it is set to NULL (each diaSource will be associated with either a diaObject or ssObject).","meta.id;src","",""
"diaSourceId","long","","Unique identifier of this DiaSource.","meta.id;obs.image","",""
"dipoleAngle","float","deg","Maximum likelihood fit of the angle between the meridian through the centroid and the dipole direction (bearing, from negative to positive lobe).","pos.posAng","",""
"dipoleAngleErr","float","deg","Uncertainty of dipoleAngle.","stat.error;pos.posAng","",""
"dipoleChi2","float","","Chi^2 statistic of the model fit.","stat.fit.chi2","",""
"dipoleDec","double","deg","Declination coordinate of centroid for dipole model.","pos.eq.dec","",""
"dipoleDec_dipoleAngle_Cov","float","","Covariance of dipoleDec and dipoleAngle.","stat.covariance","",""
"dipoleDec_dipoleLength_Cov","float","","Covariance of dipoleDec and dipoleLength.","stat.covariance","",""
"dipoleDecErr","float","deg","Uncertainty of dipoleDec.","stat.error;pos.eq.dec","",""
"dipoleFitAttempted","boolean","","Attempted to fit a dipole model to this source.","","",""
"dipoleFluxDiff","float","nJy","Maximum likelihood value for the difference of absolute fluxes of the two lobes for a dipole model.","","",""
"dipoleFluxDiff_dipoleAngle_Cov","float","","Covariance of dipoleFluxDiff and dipoleAngle.","stat.covariance","",""
"dipoleFluxDiff_dipoleDec_Cov","float","","Covariance of dipoleFluxDiff and dipoleDec.","stat.covariance","",""
"dipoleFluxDiff_dipoleLength_Cov","float","","Covariance of dipoleFluxDiff and dipoleLength.","stat.covariance","",""
"dipoleFluxDiff_dipoleRa_Cov","float","","Covariance of dipoleFluxDiff and dipoleRa.","stat.covariance","",""
"dipoleFluxDiffErr","float","nJy","Uncertainty of dipoleFluxDiff.","stat.error","",""
"dipoleLength","float","arcsec","Maximum likelihood value for the lobe separation in dipole model.","pos.angDistance","",""
"dipoleLength_dipoleAngle_Cov","float","","Covariance of dipoleLength and dipoleAngle.","stat.covariance","",""
"dipoleLengthErr","float","arcsec","Uncertainty of dipoleLength.","stat.error;pos.angDistance","",""
"dipoleLnL","float","","Natural log likelihood of the observed data given the dipole source model.","stat.likelihood","",""
